id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1504406,65.85809523809462,-0.7711688311688685,21.0,will_not_meet,PA,Norte,5-20 mil,12565.0,-0.3445013859657032
1504422,37.62776811594222,0.7848695652173839,24.0,will_not_meet,PA,Norte,100-500 mil,134403.0,-0.42824005864455345
1504455,115.75637393767738,1.708498583569428,5.0,on_track,PA,Norte,5-20 mil,11315.0,-0.01343684666953612
1504505,56.66342562781688,-0.90264005151322,6.0,will_not_meet,PA,Norte,5-20 mil,6187.0,
1504604,3.2361904761883125,-2.7349350649351605,21.0,will_not_meet,PA,Norte,20-50 mil,21825.0,-0.11136180883576514
1504703,0.0,-1.8518351214003512,22.0,will_not_meet,PA,Norte,20-50 mil,30277.0,-0.16826400601315103
1504752,0.0,-8.280769230771524,3.0,will_not_meet,PA,Norte,5-20 mil,11855.0,
1504802,4.304761904760653,-1.9493506493507151,21.0,will_not_meet,PA,Norte,20-50 mil,25817.0,-0.37791806886699114
1504901,99.34565756823822,-0.027543424317617207,5.0,on_track,PA,Norte,5-20 mil,17599.0,-0.001092923623247603
1504950,,,1.0,,PA,Norte,5-20 mil,8467.0,
1504976,103.98488372092106,5.105813953487375,5.0,on_track,PA,Norte,5-20 mil,8983.0,
1505007,31.5923809523797,-1.2812987012987604,21.0,will_not_meet,PA,Norte,5-20 mil,6318.0,-0.41250619605236005
1505031,150.0,5.924816594991097,14.0,on_track,PA,Norte,5-20 mil,18172.0,-0.17589483081495733
1505064,3.7864791040701675,-0.3638350177546759,20.0,will_not_meet,PA,Norte,20-50 mil,35354.0,-0.3048766799048014
1505106,29.240952380950148,-2.0394805194806036,21.0,will_not_meet,PA,Norte,20-50 mil,27087.0,-0.31496600492528065
1505205,10.847619047618537,-1.7948051948052604,21.0,will_not_meet,PA,Norte,5-20 mil,13266.0,-0.1577178739470898
1505304,137.73428571428576,2.467142857142898,21.0,on_track,PA,Norte,20-50 mil,47900.0,-0.5257693624627147
1505403,0.0,-2.4824675324676546,21.0,will_not_meet,PA,Norte,5-20 mil,8244.0,-0.6329748562848645
1505437,88.84679487179523,-0.09358974358972143,8.0,will_not_meet,PA,Norte,20-50 mil,24263.0,-0.12041391682604351
1505486,,,1.0,,PA,Norte,5-20 mil,15397.0,
1505494,,,2.0,,PA,Norte,<5 mil,4607.0,
1505502,141.8778677642049,3.091874668082916,20.0,on_track,PA,Norte,50-100 mil,90605.0,-0.15937539457791963
1505536,87.62372650238646,0.16020259082498037,21.0,will_not_meet,PA,Norte,100-500 mil,197154.0,-0.4480126888943077
1505551,,,2.0,,PA,Norte,<5 mil,3265.0,0.4014211145320981
1505601,18.494285714284615,-1.2515584415584944,21.0,will_not_meet,PA,Norte,<5 mil,4291.0,-0.35384962812314974
1505650,56.26666666666097,2.99999999999953,3.0,will_not_meet,PA,Norte,5-20 mil,6556.0,
1505700,36.63325804630176,-1.667814793901757,22.0,will_not_meet,PA,Norte,5-20 mil,15295.0,-0.25519530738816804
