id_municipio,projecao_2033_esgoto,inclinacao_esgoto_aa,n_obs_esgoto,classificacao_2033_esgoto,sigla_uf,regiao,porte,populacao_urbana
1502301,,,0.0,,PA,Norte,20-50 mil,22537.0
1502400,62.25286689419636,0.5315699658702296,8.0,will_not_meet,PA,Norte,100-500 mil,182183.0
1502509,,,1.0,,PA,Norte,<5 mil,2665.0
1502608,,,0.0,,PA,Norte,<5 mil,3916.0
1502707,,,0.0,,PA,Norte,20-50 mil,34287.0
1502756,,,0.0,,PA,Norte,5-20 mil,18064.0
1502764,,,1.0,,PA,Norte,<5 mil,3565.0
1502772,,,0.0,,PA,Norte,5-20 mil,12171.0
1502806,,,0.0,,PA,Norte,5-20 mil,13603.0
1502855,,,0.0,,PA,Norte,5-20 mil,6971.0
1502905,,,0.0,,PA,Norte,5-20 mil,14407.0
1502939,,,2.0,,PA,Norte,20-50 mil,38780.0
1502954,,,0.0,,PA,Norte,5-20 mil,17769.0
1503002,,,0.0,,PA,Norte,5-20 mil,5208.0
1503044,150.0,11.760000000000014,4.0,on_track,PA,Norte,5-20 mil,9446.0
1503077,,,0.0,,PA,Norte,5-20 mil,8714.0
1503093,0.0,-3.3749999999997655,3.0,will_not_meet,PA,Norte,20-50 mil,28869.0
1503101,,,0.0,,PA,Norte,5-20 mil,11250.0
1503200,,,0.0,,PA,Norte,20-50 mil,21931.0
1503309,,,0.0,,PA,Norte,20-50 mil,28592.0
1503408,,,0.0,,PA,Norte,<5 mil,3315.0
1503457,,,0.0,,PA,Norte,5-20 mil,16007.0
1503507,,,0.0,,PA,Norte,5-20 mil,6524.0
1503606,,,0.0,,PA,Norte,50-100 mil,73617.0
1503705,0.0,-5.2542857142854995,6.0,will_not_meet,PA,Norte,20-50 mil,21378.0
1503754,,,0.0,,PA,Norte,<5 mil,2653.0
1503804,,,0.0,,PA,Norte,50-100 mil,53828.0
1503903,,,1.0,,PA,Norte,5-20 mil,19850.0
1504000,,,0.0,,PA,Norte,5-20 mil,7337.0
1504059,,,0.0,,PA,Norte,20-50 mil,25105.0
1504109,,,0.0,,PA,Norte,<5 mil,4021.0
1504208,10.446273532668641,0.12918050941305304,8.0,will_not_meet,PA,Norte,100-500 mil,229312.0
1504307,,,0.0,,PA,Norte,5-20 mil,11771.0
1504406,,,0.0,,PA,Norte,5-20 mil,12565.0
1504422,0.0,-6.394000000002376,5.0,will_not_meet,PA,Norte,100-500 mil,134403.0
1504455,,,2.0,,PA,Norte,5-20 mil,11315.0
1504505,,,0.0,,PA,Norte,5-20 mil,6187.0
1504604,,,2.0,,PA,Norte,20-50 mil,21825.0
1504703,,,0.0,,PA,Norte,20-50 mil,30277.0
1504752,,,0.0,,PA,Norte,5-20 mil,11855.0
1504802,,,1.0,,PA,Norte,20-50 mil,25817.0
1504901,,,0.0,,PA,Norte,5-20 mil,17599.0
1504950,,,0.0,,PA,Norte,5-20 mil,8467.0
1504976,,,0.0,,PA,Norte,5-20 mil,8983.0
1505007,,,0.0,,PA,Norte,5-20 mil,6318.0
1505031,,,0.0,,PA,Norte,5-20 mil,18172.0
1505064,125.73600000000624,7.254000000000382,5.0,on_track,PA,Norte,20-50 mil,35354.0
1505106,,,0.0,,PA,Norte,20-50 mil,27087.0
1505205,,,1.0,,PA,Norte,5-20 mil,13266.0
1505304,,,0.0,,PA,Norte,20-50 mil,47900.0
1505403,,,0.0,,PA,Norte,5-20 mil,8244.0
1505437,,,1.0,,PA,Norte,20-50 mil,24263.0
1505486,,,1.0,,PA,Norte,5-20 mil,15397.0
1505494,,,1.0,,PA,Norte,<5 mil,4607.0
1505502,13.258717948717731,0.46062937062936504,12.0,will_not_meet,PA,Norte,50-100 mil,90605.0
1505536,0.0,-2.121331760494641,22.0,will_not_meet,PA,Norte,100-500 mil,197154.0
1505551,,,0.0,,PA,Norte,<5 mil,3265.0
1505601,,,0.0,,PA,Norte,<5 mil,4291.0
1505650,,,0.0,,PA,Norte,5-20 mil,6556.0
1505700,,,2.0,,PA,Norte,5-20 mil,15295.0
1505809,,,0.0,,PA,Norte,20-50 mil,30406.0
1505908,,,0.0,,PA,Norte,5-20 mil,18233.0
1506005,,,0.0,,PA,Norte,5-20 mil,9105.0
1506104,,,0.0,,PA,Norte,5-20 mil,7068.0
1506112,,,0.0,,PA,Norte,5-20 mil,5905.0
1506138,0.0,-1.9239361702128794,7.0,will_not_meet,PA,Norte,50-100 mil,80052.0
1506161,,,0.0,,PA,Norte,5-20 mil,13536.0
1506187,,,0.0,,PA,Norte,20-50 mil,39334.0
1506195,,,0.0,,PA,Norte,5-20 mil,19992.0
1506203,,,0.0,,PA,Norte,20-50 mil,36731.0
1506302,,,1.0,,PA,Norte,5-20 mil,15315.0
1506351,0.0,-3.3294029850738927,10.0,will_not_meet,PA,Norte,5-20 mil,6945.0
1506401,,,2.0,,PA,Norte,5-20 mil,5141.0
1506500,,,0.0,,PA,Norte,50-100 mil,52682.0
1506559,,,0.0,,PA,Norte,5-20 mil,8879.0
1506583,,,0.0,,PA,Norte,5-20 mil,8218.0
1506609,,,1.0,,PA,Norte,5-20 mil,14544.0
1506708,,,0.0,,PA,Norte,20-50 mil,40145.0
1506807,13.254769486692453,0.035696292775691196,9.0,will_not_meet,PA,Norte,100-500 mil,225869.0
1507003,,,1.0,,PA,Norte,5-20 mil,14660.0
1507102,150.0,13.07894736842091,3.0,on_track,PA,Norte,5-20 mil,7500.0
1507151,,,0.0,,PA,Norte,5-20 mil,17110.0
1507201,,,0.0,,PA,Norte,5-20 mil,7127.0
1507300,,,0.0,,PA,Norte,50-100 mil,67038.0
1507409,,,0.0,,PA,Norte,5-20 mil,5425.0
1507458,56.50006535947546,-0.8435294117648034,18.0,will_not_meet,PA,Norte,5-20 mil,13048.0
1507466,,,0.0,,PA,Norte,<5 mil,1135.0
1507474,,,0.0,,PA,Norte,5-20 mil,11906.0
1507508,,,0.0,,PA,Norte,<5 mil,2773.0
1507607,,,0.0,,PA,Norte,20-50 mil,37264.0
1507706,,,1.0,,PA,Norte,5-20 mil,11662.0
1507755,,,0.0,,PA,Norte,<5 mil,4011.0
1507805,,,0.0,,PA,Norte,5-20 mil,5694.0
1507904,,,0.0,,PA,Norte,20-50 mil,23528.0
1507953,,,1.0,,PA,Norte,50-100 mil,82597.0
1507961,,,0.0,,PA,Norte,5-20 mil,5056.0
1507979,,,1.0,,PA,Norte,5-20 mil,11624.0
1508001,,,0.0,,PA,Norte,20-50 mil,36079.0
1508035,,,0.0,,PA,Norte,5-20 mil,8338.0
1508050,,,0.0,,PA,Norte,5-20 mil,6086.0
1508084,,,0.0,,PA,Norte,20-50 mil,32474.0
1508100,,,1.0,,PA,Norte,100-500 mil,110979.0
1508126,4.297023809524205,0.24488095238099064,8.0,will_not_meet,PA,Norte,20-50 mil,40994.0
1508209,,,0.0,,PA,Norte,20-50 mil,36921.0
1508308,,,0.0,,PA,Norte,20-50 mil,20141.0
1508357,74.87000000000535,2.58600000000019,4.0,will_not_meet,PA,Norte,5-20 mil,6156.0
1508407,,,2.0,,PA,Norte,20-50 mil,35251.0
1600055,74.98705128205125,0.16108391608391315,12.0,will_not_meet,AP,Norte,<5 mil,3279.0
1600105,3.5832899907813953,-1.0503561205181637,20.0,will_not_meet,AP,Norte,5-20 mil,7990.0
1600154,,,0.0,,AP,Norte,5-20 mil,9757.0
1600204,0.0,-16.853493975904087,4.0,will_not_meet,AP,Norte,5-20 mil,9331.0
1600212,,,0.0,,AP,Norte,<5 mil,3233.0
1600238,,,0.0,,AP,Norte,5-20 mil,5865.0
1600253,,,0.0,,AP,Norte,<5 mil,2356.0
1600279,,,0.0,,AP,Norte,20-50 mil,49633.0
1600303,23.653116794414586,0.26660734613341447,21.0,will_not_meet,AP,Norte,500 mil+,500070.0
1600402,0.0,-0.9470736322972869,19.0,will_not_meet,AP,Norte,5-20 mil,10912.0
1600501,7.186736208820321,-0.28435398573577225,20.0,will_not_meet,AP,Norte,5-20 mil,19272.0
1600535,,,0.0,,AP,Norte,5-20 mil,14743.0
1600550,,,0.0,,AP,Norte,<5 mil,2663.0
1600600,0.5733650239296253,-0.08888177467339228,19.0,will_not_meet,AP,Norte,100-500 mil,122157.0
1600709,,,0.0,,AP,Norte,5-20 mil,9449.0
1600808,,,0.0,,AP,Norte,5-20 mil,13737.0
1700251,,,0.0,,TO,Norte,<5 mil,1611.0
1700301,25.56878787878827,-0.5207878787878414,10.0,will_not_meet,TO,Norte,5-20 mil,5656.0
1700350,,,0.0,,TO,Norte,<5 mil,4447.0
1700400,,,1.0,,TO,Norte,5-20 mil,5470.0
1700707,,,0.0,,TO,Norte,5-20 mil,7771.0
1701002,10.916404761904573,0.2603928571428548,15.0,will_not_meet,TO,Norte,5-20 mil,7789.0
1701051,,,0.0,,TO,Norte,<5 mil,2121.0
1701101,,,0.0,,TO,Norte,<5 mil,3854.0
1701309,,,0.0,,TO,Norte,<5 mil,2163.0
1701903,,,0.0,,TO,Norte,<5 mil,3345.0
1702000,,,0.0,,TO,Norte,5-20 mil,5636.0
1702109,45.98395722315627,1.5881487699831778,20.0,will_not_meet,TO,Norte,100-500 mil,176890.0
1702158,,,0.0,,TO,Norte,<5 mil,3942.0
1702208,,,0.0,,TO,Norte,20-50 mil,23505.0
1702307,,,0.0,,TO,Norte,5-20 mil,5332.0
1702406,,,0.0,,TO,Norte,5-20 mil,7272.0
1702554,32.103262874711845,0.8621483474250424,14.0,will_not_meet,TO,Norte,5-20 mil,15588.0
1702703,,,0.0,,TO,Norte,<5 mil,2743.0
1702901,,,2.0,,TO,Norte,5-20 mil,7677.0
1703008,,,0.0,,TO,Norte,5-20 mil,5044.0
1703057,,,0.0,,TO,Norte,<5 mil,1960.0
1703073,,,0.0,,TO,Norte,<5 mil,2478.0
1703107,,,0.0,,TO,Norte,<5 mil,4747.0
1703206,,,0.0,,TO,Norte,<5 mil,2179.0
1703305,,,0.0,,TO,Norte,<5 mil,3840.0
1703602,,,0.0,,TO,Norte,<5 mil,1545.0
1703701,,,1.0,,TO,Norte,<5 mil,4482.0
1703800,,,0.0,,TO,Norte,5-20 mil,8886.0
1703826,,,1.0,,TO,Norte,<5 mil,1848.0
1703842,,,0.0,,TO,Norte,5-20 mil,6220.0
1703867,,,0.0,,TO,Norte,<5 mil,2507.0
1703883,,,0.0,,TO,Norte,<5 mil,2069.0
1703891,0.0,-4.130424242424,10.0,will_not_meet,TO,Norte,<5 mil,2221.0
1703909,,,0.0,,TO,Norte,<5 mil,3280.0
1704105,,,0.0,,TO,Norte,<5 mil,1738.0
1704600,,,0.0,,TO,Norte,<5 mil,794.0
1705102,,,0.0,,TO,Norte,<5 mil,1683.0
1705508,75.45752941176852,1.6901029411766677,16.0,will_not_meet,TO,Norte,20-50 mil,34823.0
1705557,,,0.0,,TO,Norte,<5 mil,4172.0
1705607,,,0.0,,TO,Norte,<5 mil,2833.0
1706001,,,0.0,,TO,Norte,<5 mil,2140.0
1706100,,,0.0,,TO,Norte,5-20 mil,5952.0
1706258,,,0.0,,TO,Norte,<5 mil,975.0
1706506,,,0.0,,TO,Norte,<5 mil,3291.0
1707009,,,0.0,,TO,Norte,5-20 mil,19535.0
1707108,,,0.0,,TO,Norte,<5 mil,4903.0
1707207,0.6433333333335476,-0.004999999999981886,3.0,will_not_meet,TO,Norte,<5 mil,2782.0
1707306,,,0.0,,TO,Norte,<5 mil,3118.0
1707405,54.95133333333433,1.1218064516128938,6.0,will_not_meet,TO,Norte,5-20 mil,5492.0
1707553,,,0.0,,TO,Norte,<5 mil,3151.0
1707652,,,0.0,,TO,Norte,<5 mil,3964.0
1707702,,,0.0,,TO,Norte,5-20 mil,5790.0
1708205,,,0.0,,TO,Norte,5-20 mil,13283.0
1708254,,,0.0,,TO,Norte,<5 mil,2127.0
1708304,,,0.0,,TO,Norte,<5 mil,2860.0
1709005,,,0.0,,TO,Norte,5-20 mil,5402.0
1709302,142.1075438596472,4.889298245614172,19.0,on_track,TO,Norte,20-50 mil,24045.0
1709500,42.93080952381024,1.2377857142857298,15.0,will_not_meet,TO,Norte,50-100 mil,86406.0
1709807,,,1.0,,TO,Norte,<5 mil,1220.0
1710508,150.0,7.617823529411713,11.0,on_track,TO,Norte,<5 mil,4494.0
1710706,127.58886138613889,5.374529702970163,7.0,on_track,TO,Norte,<5 mil,3268.0
1710904,,,0.0,,TO,Norte,<5 mil,2067.0
1711100,,,0.0,,TO,Norte,<5 mil,1542.0
1711506,,,0.0,,TO,Norte,<5 mil,1459.0
1711803,,,0.0,,TO,Norte,<5 mil,1007.0
1711902,,,0.0,,TO,Norte,5-20 mil,8676.0
1711951,,,0.0,,TO,Norte,<5 mil,3218.0
1712009,,,0.0,,TO,Norte,<5 mil,2499.0
1712157,,,0.0,,TO,Norte,<5 mil,1265.0
1712405,,,0.0,,TO,Norte,<5 mil,2584.0
1712454,,,0.0,,TO,Norte,<5 mil,2044.0
1712504,,,0.0,,TO,Norte,<5 mil,2920.0
1712702,,,0.0,,TO,Norte,<5 mil,1768.0
1712801,,,0.0,,TO,Norte,<5 mil,2219.0
1713205,,,0.0,,TO,Norte,5-20 mil,15287.0
1713304,,,0.0,,TO,Norte,5-20 mil,11847.0
1713601,,,0.0,,TO,Norte,<5 mil,3510.0
1713700,,,0.0,,TO,Norte,<5 mil,499.0
1713809,,,0.0,,TO,Norte,<5 mil,3846.0
1713957,,,0.0,,TO,Norte,<5 mil,2069.0
1714203,,,0.0,,TO,Norte,5-20 mil,7400.0
1714302,,,0.0,,TO,Norte,<5 mil,1712.0
1714880,,,0.0,,TO,Norte,5-20 mil,8393.0
1715002,,,0.0,,TO,Norte,<5 mil,2846.0
1715101,,,0.0,,TO,Norte,<5 mil,3647.0
1715150,,,0.0,,TO,Norte,<5 mil,1733.0
1715259,,,0.0,,TO,Norte,<5 mil,2001.0
1715507,,,0.0,,TO,Norte,<5 mil,886.0
1715705,,,0.0,,TO,Norte,<5 mil,2424.0
1715754,,,0.0,,TO,Norte,5-20 mil,6270.0
1716109,23.35417582417608,0.8667692307691955,14.0,will_not_meet,TO,Norte,50-100 mil,50222.0
1716208,,,0.0,,TO,Norte,<5 mil,4760.0
1716307,,,0.0,,TO,Norte,<5 mil,3088.0
1716505,,,0.0,,TO,Norte,5-20 mil,12121.0
1716604,21.46172058823538,0.4403970588235369,16.0,will_not_meet,TO,Norte,5-20 mil,6048.0
1716653,,,0.0,,TO,Norte,<5 mil,2623.0
1716703,,,0.0,,TO,Norte,5-20 mil,5976.0
1717008,,,0.0,,TO,Norte,<5 mil,2887.0
1717206,,,0.0,,TO,Norte,<5 mil,1167.0
1717503,,,0.0,,TO,Norte,<5 mil,4420.0
1717800,,,0.0,,TO,Norte,<5 mil,2524.0
1717909,,,0.0,,TO,Norte,5-20 mil,5165.0
1718006,,,0.0,,TO,Norte,<5 mil,2196.0
1718204,106.7157894736838,3.335421052631636,19.0,on_track,TO,Norte,20-50 mil,46296.0
1718303,60.84694915254158,1.96728813559305,5.0,will_not_meet,TO,Norte,<5 mil,4995.0
1718402,,,0.0,,TO,Norte,<5 mil,3216.0
1718451,,,0.0,,TO,Norte,<5 mil,2323.0
1718501,,,0.0,,TO,Norte,<5 mil,2318.0
