id_municipio,projecao_icr_2033_linear,inclinacao_icr_aa,n_obs,sigla_uf,regiao,porte,icr_sm_ultimo_observado,variacao_pp_ultimo_2033,acima_limite_internacional_2033
1300904,1.0552855563130947,0.026391169487527195,6.0,AM,Norte,5-20 mil,0.6382700329028203,0.4170155234102745,False
1301001,2.028298219097536,-0.035909317550401346,18.0,AM,Norte,20-50 mil,3.172287750241589,-1.143989531144053,False
1301100,0.0,-0.32043350979632235,7.0,AM,Norte,5-20 mil,0.0749918934794714,-0.0749918934794714,False
1301159,5.113615073652937,0.06034976887923125,18.0,AM,Norte,<5 mil,10.487680635347484,-5.374065561694547,True
1301209,0.0,-0.26500944282285277,8.0,AM,Norte,50-100 mil,2.248480750588387,-2.248480750588387,False
1301308,1.3509419363483914,-0.060041317310356605,18.0,AM,Norte,20-50 mil,2.96410221875914,-1.6131602824107487,False
1301407,0.0,-0.2099005230195653,20.0,AM,Norte,20-50 mil,2.4266381305512525,-2.4266381305512525,False
1301506,0.0,0.0,11.0,AM,Norte,5-20 mil,0.0,0.0,False
1301605,0.0,-0.2554302879824252,7.0,AM,Norte,5-20 mil,0.0411684527413504,-0.0411684527413504,False
1301654,0.0,0.0,11.0,AM,Norte,5-20 mil,0.0,0.0,False
1301704,0.0,-0.2075575820637827,4.0,AM,Norte,20-50 mil,1.7962120127039027,-1.7962120127039027,False
1301803,0.0,-0.0503664531861894,3.0,AM,Norte,5-20 mil,0.0,0.0,False
1301852,0.0,-0.48580083948772157,9.0,AM,Norte,20-50 mil,0.8636139640266254,-0.8636139640266254,False
1301902,0.0,-0.2035269939885236,15.0,AM,Norte,50-100 mil,2.1439511751976505,-2.1439511751976505,False
1301951,0.0,-0.13039917504801088,18.0,AM,Norte,<5 mil,3.224057019672556,-3.224057019672556,False
1302009,0.0,-0.4585399184218534,8.0,AM,Norte,5-20 mil,1.3216575242261837,-1.3216575242261837,False
1302108,,,0.0,AM,Norte,,,,False
1302207,0.0,-0.1940188675506649,18.0,AM,Norte,5-20 mil,2.993875735836838,-2.993875735836838,False
1302306,,,1.0,AM,Norte,5-20 mil,0.0,,False
1302405,0.0,-0.2693771041885794,10.0,AM,Norte,20-50 mil,0.3940341950861753,-0.3940341950861753,False
1302504,0.0,-0.21476870384161106,16.0,AM,Norte,50-100 mil,1.2550903865955916,-1.2550903865955916,False
1302553,2.598791949760356,-0.005198302507908132,18.0,AM,Norte,5-20 mil,4.9552083916018725,-2.3564164418415166,False
1302603,2.119055486223033,-0.4086049939257855,24.0,AM,Norte,500 mil+,8.3331093925185,-6.214053906295467,False
1302702,0.0,-0.30562853312280863,15.0,AM,Norte,20-50 mil,0.7492102589538633,-0.7492102589538633,False
1302801,,,2.0,AM,Norte,<5 mil,6.310963724297464,,False
1302900,0.0,-0.18933813685563533,14.0,AM,Norte,20-50 mil,2.7207011147515123,-2.7207011147515123,False
1303007,10.599809184970127,0.3794566746169549,5.0,AM,Norte,5-20 mil,17.322425814434176,-6.722616629464049,True
1303106,1.67491136200983,0.03149423783188902,10.0,AM,Norte,5-20 mil,2.22024796091944,-0.5453365989096102,False
1303205,0.8528053287869852,-0.027097952650884074,12.0,AM,Norte,5-20 mil,0.9412669312887828,-0.08846160250179758,False
1303304,,,0.0,AM,Norte,5-20 mil,,,False
1303403,0.5854728614288263,-0.12201062044109882,17.0,AM,Norte,50-100 mil,2.9752233151954166,-2.3897504537665903,False
1303502,5.790048210657119,0.17757244167073669,4.0,AM,Norte,5-20 mil,3.231923190643583,2.558125020013536,True
1303536,0.0,-0.29651290310147843,12.0,AM,Norte,5-20 mil,2.3042844825023043,-2.3042844825023043,False
1303569,0.0,-0.6034073352005629,3.0,AM,Norte,5-20 mil,1.860783613195189,-1.860783613195189,False
1303601,0.0,-0.13915639555250392,3.0,AM,Norte,5-20 mil,0.0,0.0,False
1303700,0.0,-0.27637768603751967,3.0,AM,Norte,5-20 mil,1.0914318970959598,-1.0914318970959598,False
1303809,0.0,-0.5602239876208097,5.0,AM,Norte,20-50 mil,0.0,0.0,False
1303908,1.1818620798993607,-0.0800832885099098,18.0,AM,Norte,5-20 mil,6.0882573530341535,-4.906395273134793,False
1303957,0.0,-0.18467343082359125,13.0,AM,Norte,5-20 mil,1.8012035877917294,-1.8012035877917294,False
1304005,0.18931723678372947,-0.015596297196428894,5.0,AM,Norte,<5 mil,0.1988779369008329,-0.009560700117103443,False
1304062,0.0,-0.1151636757201313,18.0,AM,Norte,20-50 mil,0.776337404441081,-0.776337404441081,False
1304104,,,1.0,AM,Norte,5-20 mil,0.1786352268667381,,False
1304203,0.0,-0.3787883116029863,10.0,AM,Norte,20-50 mil,1.0815040027667933,-1.0815040027667933,False
1304237,0.0,0.0,6.0,AM,Norte,5-20 mil,0.0,0.0,False
1304260,,,0.0,AM,Norte,5-20 mil,,,False
1304302,1.7511041283315478,-0.02775060134049558,11.0,AM,Norte,5-20 mil,2.1568667979544496,-0.40576266962290175,False
1304401,,,0.0,AM,Norte,5-20 mil,,,False
1400027,1.7324079116365851,-0.09865383460215005,20.0,RR,Norte,<5 mil,3.119155330167163,-1.386747418530578,False
